what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365539157169
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365539197295
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1365539207469
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365539207500
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365539211486
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365539213421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365539216635
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365539217660
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365539220366
executed,command,it.baeyens.avreclipse.ui,4.0.8,"it.baeyens.avreclipse.commands.uploadproject",1365539220374
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1365539221422
executed,command,it.baeyens.avreclipse.ui,4.0.8,"it.baeyens.avreclipse.commands.uploadproject",1365539223842
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365539224164
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365539233649
activated,view,it.baeyens.arduino.monitor,1.2.2,"it.baeyens.arduino.monitor.views.SerialMonitor",1365539238327
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365539263264
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365539267243
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365539293612
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365539295489
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365539298130
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1365539298688
executed,command,it.baeyens.avreclipse.ui,4.0.8,"it.baeyens.avreclipse.commands.uploadproject",1365539300211
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365539300538
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365539309873
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365539314724
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365539315629
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365539316540
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365539321051
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365539324718
activated,view,it.baeyens.arduino.monitor,1.2.2,"it.baeyens.arduino.monitor.views.SerialMonitor",1365539324927
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365539923892
activated,view,it.baeyens.arduino.monitor,1.2.2,"it.baeyens.arduino.monitor.views.SerialMonitor",1365539926697
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365539937197
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365539939798
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365539962729
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365539970236
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365539972898
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365539984391
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365539986588
executed,command,it.baeyens.avreclipse.ui,4.0.8,"it.baeyens.avreclipse.commands.uploadproject",1365539986598
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1365539988075
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365539995830
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1365540025637
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365540025688
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365540045720
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1365540075137
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365540111966
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1365540211687
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365540215425
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1365540344477
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1365540346083
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1365540350685
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1365540354220
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365540370968
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365540391206
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365540401689
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365540404438
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1365540407293
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1365540412685
activated,view,it.baeyens.arduino.monitor,1.2.2,"it.baeyens.arduino.monitor.views.SerialMonitor",1365540415628
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1365540423163
executed,command,it.baeyens.avreclipse.ui,4.0.8,"it.baeyens.avreclipse.commands.uploadproject",1365540426000
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365540426331
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365540435451
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365540441580
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365540444729
activated,view,it.baeyens.arduino.monitor,1.2.2,"it.baeyens.arduino.monitor.views.SerialMonitor",1365540446023
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365540542414
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365540630541
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365540632236
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365540634329
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365540634329
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365540635126
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365540636761
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1365540640426
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365540640668
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365540640691
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365540655450
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365540655450
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365540673348
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1365540676565
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365540676772
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365540676795
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365540701463
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365540701463
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1365540702626
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365540702803
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365540702826
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1365540782426
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365540782441
opened,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1365540785374
