what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1365563551819
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1365563551819
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1365563551837
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1365563551857
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1365563551866
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1365563551876
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1365563551889
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1365563551902
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1365563551902
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1365563551920
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1365563551929
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1365563551946
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1365563551963
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1365563552005
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1365563552034
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1365563552058
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1365563552073
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1365563552081
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1365563552099
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1365563552116
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1365563552134
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1365563552147
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1365563552157
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1365563552175
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1365563552183
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1365563552196
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1365563552201
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1365563552221
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1365563552243
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1365563552261
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1365563552275
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1365563552297
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1365563552343
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1365563552359
started,bundle,it.baeyens.arduino.common,1.2.2.1,"it.baeyens.arduino.common",1365563552374
started,bundle,it.baeyens.arduino.monitor,1.2.2,"it.baeyens.arduino.monitor",1365563552376
started,bundle,com.collabnet.subversion.merge,3.0.13,"com.collabnet.subversion.merge",1365563552396
started,bundle,org.tigris.subversion.clientadapter,1.8.3,"org.tigris.subversion.clientadapter",1365563552414
started,bundle,org.tigris.subversion.subclipse.core,1.8.19,"org.tigris.subversion.subclipse.core",1365563552433
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1365563552446
started,bundle,org.tigris.subversion.subclipse.ui,1.8.19,"org.tigris.subversion.subclipse.ui",1365563552470
os,sysinfo,,,"win32",1365563552477
arch,sysinfo,,,"x86",1365563552477
ws,sysinfo,,,"win32",1365563552477
locale,sysinfo,,,"en_US",1365563552477
processors,sysinfo,,,"4",1365563552477
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1365563552477
java.runtime.version,sysinfo,,,"1.7.0_13-b20",1365563552477
java.specification.name,sysinfo,,,"Java Platform API Specification",1365563552477
java.specification.vendor,sysinfo,,,"Oracle Corporation",1365563552477
java.specification.version,sysinfo,,,"1.7",1365563552477
java.vendor,sysinfo,,,"Oracle Corporation",1365563552477
java.version,sysinfo,,,"1.7.0_13",1365563552477
java.vm.info,sysinfo,,,"mixed mode, sharing",1365563552477
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1365563552477
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1365563552477
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1365563552477
java.vm.specification.version,sysinfo,,,"1.7",1365563552477
java.vm.vendor,sysinfo,,,"Oracle Corporation",1365563552477
java.vm.version,sysinfo,,,"23.7-b01",1365563552477
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1365563553606
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1365563553693
started,bundle,it.baeyens.avreclipse.core,1.0.8,"it.baeyens.avreclipse.core",1365563553741
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1365563553828
