what,kind,bundleId,bundleVersion,description,time
activated,view,it.baeyens.arduino.monitor,1.2.2,"it.baeyens.arduino.monitor.views.SerialMonitor",1365547705882
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365547708742
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365547712263
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365547712293
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365547753105
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365547870429
activated,view,it.baeyens.arduino.monitor,1.2.2,"it.baeyens.arduino.monitor.views.SerialMonitor",1365547887754
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1365547892412
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365547893953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365547896372
executed,command,it.baeyens.avreclipse.ui,4.0.8,"it.baeyens.avreclipse.commands.uploadproject",1365547898395
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365547898706
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365547906283
activated,view,it.baeyens.arduino.monitor,1.2.2,"it.baeyens.arduino.monitor.views.SerialMonitor",1365547945893
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365547952057
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1365547978899
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365547978966
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365547978985
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365547981260
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365548001061
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365548005359
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365548007490
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1365548008594
executed,command,it.baeyens.avreclipse.ui,4.0.8,"it.baeyens.avreclipse.commands.uploadproject",1365548009677
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365548009998
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365548017482
activated,view,it.baeyens.arduino.monitor,1.2.2,"it.baeyens.arduino.monitor.views.SerialMonitor",1365548020460
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365548035510
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1365548069938
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1365548077288
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1365548081122
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1365548081311
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.format",1365548083263
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365548084581
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365548098804
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365548101063
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365548110538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365548118502
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365548120943
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1365548123449
executed,command,it.baeyens.avreclipse.ui,4.0.8,"it.baeyens.avreclipse.commands.uploadproject",1365548124565
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365548124880
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365548132461
activated,view,it.baeyens.arduino.monitor,1.2.2,"it.baeyens.arduino.monitor.views.SerialMonitor",1365548137129
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365548142628
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1365548492730
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1365548509236
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1365548566916
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1365548568553
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365548579150
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365548589161
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365548618454
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365548620938
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365548621984
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365548623807
executed,command,it.baeyens.avreclipse.ui,4.0.8,"it.baeyens.avreclipse.commands.uploadproject",1365548623815
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1365548624664
executed,command,it.baeyens.avreclipse.ui,4.0.8,"it.baeyens.avreclipse.commands.uploadproject",1365548625514
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365548625843
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365548633415
activated,view,it.baeyens.arduino.monitor,1.2.2,"it.baeyens.arduino.monitor.views.SerialMonitor",1365548638445
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365548656638
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1365548680951
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1365548681106
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365548683525
